CIS_CCE_25589_3,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,dword,0
CIS_CCE_24075_4,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,AuditBaseObjects,dword,0
CIS_CCE_24923_5,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,fullprivilegeauditing,binary,0
CIS_CCE_24252_9,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,scenoapplylegacyauditpolicy,dword,1
CIS_CCE_23988_9,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,crashonauditfail,dword,0
CIS_CCE_24640_5,HKEY_LOCAL_MACHINE,Software\policies\Microsoft\Windows NT\DCOM,MachineAccessRestriction,binary,absent
CIS_CCE_25572_9,HKEY_LOCAL_MACHINE,Software\policies\Microsoft\Windows NT\DCOM,MachineLaunchRestriction,binary,absent
CIS_CCE_25248_6,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,undockwithoutlogon,dword,1
CIS_CCE_24607_4,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateCDRoms,sz,0
CIS_CCE_23668_7,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateFloppies,sz,0
CIS_CCE_23668_7,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateDASD,sz,0
CIS_CCE_25176_9,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers,AddPrinterDrivers,dword,1
CIS_CCE_25305_4,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,SubmitControl,dword,absent
